Matchday,Home Team,Away Team,Score,Date
1,Man United,Fulham,1-0,2024-08-16T19:00:00Z
1,Ipswich Town,Liverpool,0-2,2024-08-17T11:30:00Z
1,Arsenal,Wolverhampton,2-0,2024-08-17T14:00:00Z
1,Everton,Brighton Hove,0-3,2024-08-17T14:00:00Z
1,Newcastle,Southampton,1-0,2024-08-17T14:00:00Z
1,Nottingham,Bournemouth,1-1,2024-08-17T14:00:00Z
1,West Ham,Aston Villa,1-2,2024-08-17T16:30:00Z
1,Brentford,Crystal Palace,2-1,2024-08-18T13:00:00Z
1,Chelsea,Man City,0-2,2024-08-18T15:30:00Z
1,Leicester City,Tottenham,1-1,2024-08-19T19:00:00Z
2,Brighton Hove,Man United,2-1,2024-08-24T11:30:00Z
2,Crystal Palace,West Ham,0-2,2024-08-24T14:00:00Z
2,Fulham,Leicester City,2-1,2024-08-24T14:00:00Z
2,Man City,Ipswich Town,4-1,2024-08-24T14:00:00Z
2,Southampton,Nottingham,0-1,2024-08-24T14:00:00Z
2,Tottenham,Everton,4-0,2024-08-24T14:00:00Z
2,Aston Villa,Arsenal,0-2,2024-08-24T16:30:00Z
2,Bournemouth,Newcastle,1-1,2024-08-25T13:00:00Z
2,Wolverhampton,Chelsea,2-6,2024-08-25T13:00:00Z
2,Liverpool,Brentford,2-0,2024-08-25T15:30:00Z
3,Arsenal,Brighton Hove,1-1,2024-08-31T11:30:00Z
3,Brentford,Southampton,3-1,2024-08-31T14:00:00Z
3,Everton,Bournemouth,2-3,2024-08-31T14:00:00Z
3,Ipswich Town,Fulham,1-1,2024-08-31T14:00:00Z
3,Leicester City,Aston Villa,1-2,2024-08-31T14:00:00Z
3,Nottingham,Wolverhampton,1-1,2024-08-31T14:00:00Z
3,West Ham,Man City,1-3,2024-08-31T16:30:00Z
3,Chelsea,Crystal Palace,1-1,2024-09-01T12:30:00Z
3,Newcastle,Tottenham,2-1,2024-09-01T12:30:00Z
3,Man United,Liverpool,0-3,2024-09-01T15:00:00Z
4,Southampton,Man United,0-3,2024-09-14T11:30:00Z
4,Brighton Hove,Ipswich Town,0-0,2024-09-14T14:00:00Z
4,Crystal Palace,Leicester City,2-2,2024-09-14T14:00:00Z
4,Fulham,West Ham,1-1,2024-09-14T14:00:00Z
4,Liverpool,Nottingham,0-1,2024-09-14T14:00:00Z
4,Man City,Brentford,2-1,2024-09-14T14:00:00Z
4,Aston Villa,Everton,3-2,2024-09-14T16:30:00Z
4,Bournemouth,Chelsea,0-1,2024-09-14T19:00:00Z
4,Tottenham,Arsenal,0-1,2024-09-15T13:00:00Z
4,Wolverhampton,Newcastle,1-2,2024-09-15T15:30:00Z
5,West Ham,Chelsea,0-3,2024-09-21T11:30:00Z
5,Aston Villa,Wolverhampton,3-1,2024-09-21T14:00:00Z
5,Fulham,Newcastle,3-1,2024-09-21T14:00:00Z
5,Leicester City,Everton,1-1,2024-09-21T14:00:00Z
5,Liverpool,Bournemouth,3-0,2024-09-21T14:00:00Z
5,Southampton,Ipswich Town,1-1,2024-09-21T14:00:00Z
5,Tottenham,Brentford,3-1,2024-09-21T14:00:00Z
5,Crystal Palace,Man United,0-0,2024-09-21T16:30:00Z
5,Brighton Hove,Nottingham,2-2,2024-09-22T13:00:00Z
5,Man City,Arsenal,2-2,2024-09-22T15:30:00Z
6,Newcastle,Man City,1-1,2024-09-28T11:30:00Z
6,Arsenal,Leicester City,4-2,2024-09-28T14:00:00Z
6,Brentford,West Ham,1-1,2024-09-28T14:00:00Z
6,Chelsea,Brighton Hove,4-2,2024-09-28T14:00:00Z
6,Everton,Crystal Palace,2-1,2024-09-28T14:00:00Z
6,Nottingham,Fulham,0-1,2024-09-28T14:00:00Z
6,Wolverhampton,Liverpool,1-2,2024-09-28T16:30:00Z
6,Ipswich Town,Aston Villa,2-2,2024-09-29T13:00:00Z
6,Man United,Tottenham,0-3,2024-09-29T15:30:00Z
6,Bournemouth,Southampton,3-1,2024-09-30T19:00:00Z
7,Crystal Palace,Liverpool,0-1,2024-10-05T11:30:00Z
7,Arsenal,Southampton,3-1,2024-10-05T14:00:00Z
7,Brentford,Wolverhampton,5-3,2024-10-05T14:00:00Z
7,Leicester City,Bournemouth,1-0,2024-10-05T14:00:00Z
7,Man City,Fulham,3-2,2024-10-05T14:00:00Z
7,West Ham,Ipswich Town,4-1,2024-10-05T14:00:00Z
7,Everton,Newcastle,0-0,2024-10-05T16:30:00Z
7,Aston Villa,Man United,0-0,2024-10-06T13:00:00Z
7,Chelsea,Nottingham,1-1,2024-10-06T13:00:00Z
7,Brighton Hove,Tottenham,3-2,2024-10-06T15:30:00Z
8,Tottenham,West Ham,4-1,2024-10-19T11:30:00Z
8,Fulham,Aston Villa,1-3,2024-10-19T14:00:00Z
8,Ipswich Town,Everton,0-2,2024-10-19T14:00:00Z
8,Man United,Brentford,2-1,2024-10-19T14:00:00Z
8,Newcastle,Brighton Hove,0-1,2024-10-19T14:00:00Z
8,Southampton,Leicester City,2-3,2024-10-19T14:00:00Z
8,Bournemouth,Arsenal,2-0,2024-10-19T16:30:00Z
8,Wolverhampton,Man City,1-2,2024-10-20T13:00:00Z
8,Liverpool,Chelsea,2-1,2024-10-20T15:30:00Z
8,Nottingham,Crystal Palace,1-0,2024-10-21T19:00:00Z
9,Leicester City,Nottingham,1-3,2024-10-25T19:00:00Z
9,Aston Villa,Bournemouth,1-1,2024-10-26T14:00:00Z
